key_person,source,value
04450e4b,tsncards,9987
0447f21f,tsncards,2202
044cac8a,tsncards,171775
044d5b0c,tsncards,14187
044dc279,findagrave,84156453
044e898b,tsncards,161979
0455452d,tsncards,134465
0455f35c,tsncards,44000
045803e6,tsncards,15556
0458cdaa,tsncards,814
045b6c7a,tsncards,106524
04609ae4,tsncards,82658
046236c2,tsncards,15625
046a721e,tsncards,95059
046b14d0,tsncards,29845
046f2bf9,tsncards,134411
04721af7,findagrave,106785779
04721af7,tsncards,47993
0477ce89,tsncards,149699
04783681,findagrave,210026869
04783681,tsncards,47150
04794f78,findagrave,111673368
04794f78,tsncards,12023
047ac062,tsncards,52911
047d17fa,findagrave,84728884
047d17fa,tsncards,136727
048262b4,tsncards,178924
048335ad,findagrave,274877257
048335ad,tsncards,178541
04849e2d,tsncards,135208
04858861,findagrave,2627014
04858861,tsncards,11079
0485f92d,tsncards,100138
04885514,tsncards,125085
048d8ef5,findagrave,4573334
048d8ef5,tsncards,92680
048dca60,tsncards,6569
04942e87,tsncards,97294
049667f2,tsncards,89464
0498bb21,tsncards,128870
049aae75,findagrave,32050288
049f65f8,tsncards,142273
04a2a3a1,tsncards,648
04a52922,tsncards,10737
04a7c984,tsncards,85482
04a8a26e,findagrave,168937607
04a8a26e,tsncards,114410
04acae2d,tsncards,80579
04b48d37,tsncards,358
04b6c352,tsncards,119867
04b7741d,tsncards,53817
04bc27c9,tsncards,13827
04bf7345,tsncards,13769
04c0272c,tsncards,48633
04c0ac91,findagrave,41032418
04c0ac91,tsncards,128728
04c0ac91,tsncards,25256
04c59a04,tsncards,157594
04c9134d,findagrave,65428152
04c9134d,tsncards,76175
04c9c50f,tsncards,172639
04c9e815,tsncards,13399
04cbd8c4,tsncards,120642
04d516ea,tsncards,12090
04d5d031,tsncards,26096
04d5e10b,tsncards,7322
04d6c69e,tsncards,161913
04d8448d,tsncards,23849
04d91bea,tsncards,145571
04db01c1,findagrave,172241439
04db01c1,tsncards,98422
04e14043,tsncards,129505
04e44d25,tsncards,55355
04e6860a,tsncards,86631
04e9594c,tsncards,75930
04eabb7e,tsncards,20521
04ebc04b,tsncards,337
04ecb350,tsncards,130861
04edddfb,tsncards,78430
04ee94ad,tsncards,29938
04f3fcac,tsncards,166185
04f6a63a,tsncardS,15561
04f6ca80,tsncards,13197
04f8c075,tsncards,29810
04fb35e1,tsncards,96032
04fcbc1d,findagrave,65097363
04fcbc1d,tsncards,110859
04fd2e57,tsncards,45990
04fed04b,tsncards,133321
04ff8bf7,findagrave,191074629
04ff8bf7,tsncards,165177
0505b52b,tsncards,26082
05079146,tsncards,163264
051018cb,findagrave,64498320
051018cb,tsncards,126878
0512a5de,tsncards,59956
0517d63e,tsncards,32562
051bdfd9,findagrave,199139011
051bdfd9,tsncards,164056
051d4b07,tsncards,76724
051e6391,tsncards,123932
05223c4d,tsncards,32964
0522afce,tsncards,7331
052497d0,tsncards,65698
0525ce33,findagrave,233662915
0529801d,tsncards,167073
052c60a9,findagrave,141784682
052f5cb9,tsncards,101064
0532d1d2,tsncards,46207
0534480b,tsncards,14403
05344832,findagrave,39972012
05344832,tsncards,64580
053ae661,findagrave,31584104
053d9d1c,tsncards,12745
053ee30d,tsncards,44847
0543c00d,tsncards,31557
0543e39c,tsncards,14062
05452043,findagrave,113302116
05452043,tsncards,149644
054697cd,findagrave,58572111
054697cd,tsncards,16777
05499109,findagrave,189698216
05499109,tsncards,148025
054f19a4,tsncards,143903
054f8efa,tsncards,81866
0552ba75,tsncards,55838
05543992,findagrave,79181297
05568fa4,findagrave,112016352
055bacb9,tsncards,75862
055ebe4a,tsncards,163199
056acb79,findagrave,18154946
056b431c,tsncards,277
056b94b6,tsncards,92988
056e1ba0,tsncards,93941
0573c5df,tsncards,158882
05772416,tsncards,154890
0579c189,tsncards,14569
057c5108,tsncards,159931
057f6528,tsncards,158368
0584874f,tsncards,162650
0592ed61,findagrave,262564143
0592ed61,tsncards,128567
05958429,tsncards,34796
0595fa03,tsncards,32502
0598c1f7,tsncards,1683
05a0e4c8,findagrave,131592260
05a0e4c8,tsncards,100385
05a464e9,tsncards,121889
05a5e7ed,tsncards,89556
05a6baa7,tsncards,98975
05a865d7,tsncards,18847
05a8802a,tsncards,153375
05a8f832,tsncards,8691
05ab0e70,tsncards,169368
05b08cf3,findagrave,38381717
05b08cf3,tsncards,11368
05b5f489,findagrave,157862968
05b5f489,tsncards,53849
05b7a20b,tsncards,110117
05b95d01,tsncards,9216
05bbf4aa,tsncards,149762
05bcb081,findagrave,184233913
05bcb081,tsncards,9479
05be2ead,findagrave,143819212
05be2ead,tsncards,102551
05be2f76,tsncards,157738
05bec5ee,tsncards,52236
05c32c47,findagrave,15654565
05c40ba9,tsncards,14942
05caf5af,tsncards,28493
05cb4630,tsncards,161067
05ccd2be,tsncards,75658
05cced26,findagrave,24099255
05cced26,tsncards,161564
05ce0fc5,tsncards,157997
05ce23df,tsncards,63869
05cefbc2,tsncards,10548
05d02094,tsncards,9323
05d52799,findagrave,131647451
05d52799,tsncards,154697
05d5b213,tsncards,168962
05dc03ad,tsncards,68881
05ded12e,tsncards,14394
05e0a649,findagrave,120429258
05e0a649,tsncards,110009
05e13b31,findagrave,47966360
05e13b31,tsncards,78184
05e51e6c,tsncards,119758
05e6988f,tsncards,82581
05e69fa7,tsncards,14903
05e81ae6,findagrave,1222018
05e81ae6,tsncards,155613
05e97495,tsncards,45001
05ea9d41,tsncards,11789
05eae8c3,tsncards,132478
05eae8c3,tsncards,151405
05ebc61e,tsncards,131548
05ee6b49,tsncards,10535
05f05591,tsncards,91403
05f35b15,tsncards,131562
05f35b15,tsncards,140318
05f7fd7b,tsncards,69614
05fac7a2,tsncards,160800
05ff66b9,tsncards,108229
0600198c,findagrave,184400237
0600198c,tsncards,161310
0605ff26,tsncards,54036
06072068,tsncards,83353
0611e0f0,findagrave,225251276
0611e0f0,tsncards,6287
06152d56,tsncards,28641
0615f209,findagrave,152069626
0615f209,tsncards,3220
06162c4c,tsncards,62644
0616a171,tsncards,77016
0616af39,findagrave,144342401
0616af39,tsncards,100299
0616af39,tsncards,98352
0616eb3a,tsncards,144055
0617356c,findagrave,167657949
0617356c,tsncards,143273
06191e4a,tsncards,28033
061acb5c,tsncards,122682
061c98c0,tsncards,175191
061cbfec,tsncards,18899
061cbfec,tsncards,45346
061e1b79,tsncards,148000
0620b07f,tsncards,69691
0621c3bc,tsncards,13867
0629460f,tsncards,74122
0629b3da,findagrave,84164641
0629b3da,tsncards,76840
0629c823,findagrave,90803873
0629c823,tsncards,160009
062c0fad,tsncards,164541
062c6fd7,findagrave,116427227
062c6fd7,tsncards,71578
