key_person,name_last,name_first,name_given,birth_year,birth_month,birth_day,altname_type,altname_lang,altname_last,altname_first,altname_given,altname_matrilineal,altname_nick,altname_date_start,altname_date_end
176625a1,Brandon,Ralph,Ralph V.,1904,,,alias,en,Branden,Merle,Merle,,,,
9123bd6f,Bredenhagen,Herbert,Herbert Funk,1886,8,18,legal,en,Brandhagen,H. F.,H. F.,,,,
c7b3edcc,Braun,Charles,Charles,1932,,,alt-spelling,en,Braun,William,William,,,,
a1eac897,Brown,Rachie,Rachie,1870,7,4,legal,en,Braunstein,Abraham,Abraham Joseph,,,,
c85736cd,Brautigam,George,George,,,,alt-spelling,en,Brautigan,George,George,,,,
53567d63,Hogan,Wallace,Wallace Louis,1877,10,13,birth,en,Bray,Wallace,Wallace Louis,,,,
d5d29a9e,Beeam,Zemery,Zemery,,,,alt-spelling,en,Bream,Zemery,Zemery,,,,
f9f74ee6,Brendle,Paul,Paul Richard,1926,7,10,alt-spelling,en,Brendel,Paul,Paul R.,,,,
71583663,Brett,Norm,Norman,1926,12,25,birth,en,Brettschneider,Norm,Norman,,,,
5319f858,Breidenbach,Don,Donald E.,,,,alt-spelling,en,Bridenbach,Donald,Donald,,,,
a1ca5af8,Bridges,Tony,Anthony Wayne,1968,8,24,alias,en,Bridges-Clements,Tony,Anthony Wayne,,,,
d1baa9f7,Brito-Trinidad,CJ,CJ,2001,2,27,alias,en,Brito,CJ,CJ,,,,
596a1ba6,Britt,George,George W.,1895,7,6,birth,en,Britton,George,George W.,,,,
6ad3ebf1,Brittsan,William,William F.,1872,12,1,alt-spelling,en,Brittsen,William,William F.,,,,
6ad3ebf1,Brittsan,William,William F.,1872,12,1,alt-spelling,en,Brittson,William,William F.,,,,
8f59984e,Broeckelman,Bernard,Bernard J.,1917,,,alt-spelling,en,Brockelmann,Bernard,Bernard,,,,
a39f3122,Gouvea,Murilo,Murilo,1988,9,15,alias,en,Brolo,Murilo,Murilo,,,,
290bb122,Allen,Lou,Louis Gregory,1904,2,29,legal,en,Brominski,Lou,Louis Gregory,,,,
0d166b80,Mauer,Fred,Frederick H.,1862,4,19,alias,en,Brooks,F. H.,F. H.,,,1886,1886
6af4b9d4,Parks,Slicker,Vernon Henry,1895,11,10,alias,en,Brooks,Harold,Harold,,,,
